ft_case_id,transaction_id,account_num,loss_dt,reported_dt,fraud_type_cd,gross_fraud_amt,merchant_credit_amt,net_fraud_amt,chargeback_amt,chargeback_cnt,total_transaction_cnt,external_status_desc,case_narrative,loss_type_desc
case_0000197,txn_00006465,acct_0000682,2026-02-10,2026-02-15,FPF,384.25,151.2,233.05,7.17,1,5,Fraud Investigation - Awaiting Customer Response,"Account takeover in Colorado; $2,000 spent on airline tickets after hackers gained access through social media.",Recovered
case_0000198,txn_00006479,acct_0000841,2026-02-20,2026-03-12,LST,35.77,17.08,18.69,17.19,0,10,Confirmed Fraud - Refund Process Initiated,"A cardholder in Germany reported a lost card after noticing a $250 charge at a local bar in Miami, leading to an immediate alert.",Gross
case_0000199,txn_00006509,acct_0000977,2026-01-23,2026-02-10,LST,37.96,12.16,25.8,32.02,0,2,Suspicious Activity - Temporary Hold Placed,"Account takeover reported in California; unauthorized purchase of $2,500 made online using stolen credentials from a phishing attack.",Recovered
case_0000200,txn_00006530,acct_0002350,2026-01-19,2026-01-19,LST,535.22,6.12,529.1,186.68,2,2,Confirmed Fraud - Refund Process Initiated,"SIM swap detected in New York; fraudster accessed account and withdrew $1,200 in cash at an ATM within minutes.",Recovered
case_0000201,txn_00006554,acct_0003540,2026-02-20,2026-03-09,CNP,116.35,63.88,52.47,59.49,1,11,Fraud Investigation - Awaiting Customer Response,"Account takeover in Ohio; $2,500 in unauthorized purchases made using stolen credit card information.",Recovered
case_0000202,txn_00006576,acct_0004074,2026-01-28,2026-02-17,FPF,45.95,16.95,29,26.49,2,9,Fraud Confirmed - No Chargeback Filed,"Investigation initiated for $250 e-commerce purchase of cosmetics from an online store in Spain, traced to a compromised credit card in Mexico.",Net
case_0000203,txn_00006598,acct_0003298,2026-03-04,2026-03-16,CTF,810,257.7,552.3,178.8,0,7,Fraud Investigation - Awaiting Customer Response,"SIM swap detected in New York; fraudster accessed account and withdrew $1,200 in cash at an ATM within minutes.",Recovered
case_0000204,txn_00006611,acct_0001696,2026-01-31,2026-02-02,LST,86.39,33.38,53.01,0.44,3,4,Fraud Suspected - Investigation Ongoing,"SIM swap incident in the Netherlands; $3,500 withdrawn from ATMs after victim's phone number was hijacked.",Net
case_0000205,txn_00006641,acct_0002524,2026-03-13,2026-03-17,CNP,341.44,18.54,322.9,251.11,3,4,Fraud Suspected - Investigation Ongoing,"Fraudulent SIM swap reported in Thailand; $1,600 transferred to an unknown account within minutes.",Net
case_0000206,txn_00006676,acct_0002564,2026-03-05,2026-03-11,CNP,536.29,100.64,435.65,356.95,2,10,Confirmed Fraud - Chargeback Filed,"A stolen card was used for a $700 online purchase in Italy, with the cardholder in Chicago reporting it lost during a recent trip.",Gross
case_0000207,txn_00006693,acct_0003521,2026-02-26,2026-03-05,CTF,88.91,9.26,79.65,50.95,1,5,Confirmed Fraud - Chargeback Filed,"Reviewed a $900 charge for concert tickets in Japan, suspected to be friendly fraud as the cardholder denied the transaction.",Recovered
case_0000208,txn_00006733,acct_0001853,2026-02-22,2026-03-06,BUS,662.84,181.57,481.27,548.98,0,2,Fraud Suspected - Investigation Ongoing,"Account takeover in Colorado; $2,000 spent on airline tickets after hackers gained access through social media.",Net
case_0000209,txn_00006772,acct_0000211,2026-03-01,2026-03-06,CNP,16.86,7.49,9.37,11.57,3,5,Fraud Alert - Transaction Declined,"Fraudulent SIM swap reported in Thailand; $1,600 transferred to an unknown account within minutes.",Recovered
case_0000210,txn_00006787,acct_0002679,2026-01-08,2026-01-15,CNP,123.8,2.76,121.04,34.49,1,7,Fraudulent Transaction - Account Closed,"Detected a $5,000 fraudulent charge from an online retailer; card traced back to a skimming operation in Las Vegas.",Gross
case_0000211,txn_00006876,acct_0001969,2026-03-27,2026-04-12,BUS,1276.75,491.17,785.58,286.29,0,7,Fraudulent Transaction - Account Closed,"Investigation initiated for $250 e-commerce purchase of cosmetics from an online store in Spain, traced to a compromised credit card in Mexico.",Recovered
case_0000212,txn_00006928,acct_0001553,2026-01-02,2026-01-06,CNP,29.77,1.55,28.22,15.31,0,11,Fraud Investigation - Awaiting Customer Response,"Counterfeit card used for a $2,000 transaction in Toronto; linked to a recent phishing scam targeting local residents.",Net
case_0000213,txn_00006939,acct_0003032,2026-02-25,2026-03-04,CNP,103.48,58.9,44.58,0.51,0,2,Fraudulent Transaction - Account Closed,"Investigation opened for a $200 e-commerce transaction for luxury goods from a site in Italy, originating from a stolen card in Canada.",Gross
case_0000214,txn_00006953,acct_0003393,2026-02-04,2026-02-15,LST,764.94,143.91,621.03,160.46,0,9,Fraud Confirmed - No Chargeback Filed,A fraudulent $900 transaction at a Miami retail outlet was traced back to a skimming device found on the ATM used by several victims.,Gross
case_0000215,txn_00006956,acct_0001725,2026-03-27,2026-03-28,FPF,119.52,41.02,78.5,8.96,2,11,Fraudulent Activity - Account Suspended,"Analyzed a $2,800 luxury hotel booking in Las Vegas, suggesting possible friendly fraud due to conflicting cardholder statements.",Recovered
case_0000216,txn_00007038,acct_0003720,2026-01-25,2026-02-04,CNP,112.8,11.27,101.53,73.62,3,10,Confirmed Fraud - Refund Process Initiated,"Found $150 charge for digital downloads on a site in Italy, originating from a stolen card in the U.S., indicating possible identity theft.",Gross
case_0000217,txn_00007222,acct_0000425,2026-01-31,2026-02-13,ATO,567.33,86.47,480.86,482.65,1,1,Suspicious Activity - Temporary Hold Placed,"Examined a $700 online gaming purchase in Canada, attributed to friendly fraud with multiple disputes from the cardholder.",Gross
case_0000218,txn_00007336,acct_0002302,2026-03-13,2026-04-02,FPF,112.38,34.12,78.26,23.09,0,4,Fraudulent Transaction - Account Closed,"Account takeover in Australia; $1,500 spent on gaming subscriptions after the victim's email was hacked.",Net
case_0000219,txn_00007340,acct_0003493,2026-03-14,2026-03-28,CTF,53.97,22.17,31.8,34.72,3,8,Fraud Suspected - Investigation Ongoing,"Detected a $3,000 purchase of sporting goods in Canada, linked to a bust-out scheme with forged identification presented.",Recovered
case_0000220,txn_00007415,acct_0000396,2026-03-27,2026-04-01,FPF,50.04,1.51,48.53,12.91,3,8,Confirmed Fraud - Refund Process Initiated,"After losing their card in Italy, a customer found a $300 charge at a local cafe in New York flagged as fraudulent.",Gross
case_0000221,txn_00007431,acct_0001381,2026-02-20,2026-03-12,LST,271.45,106.68,164.77,45.39,2,9,Fraud Confirmed - No Chargeback Filed,"Identified a $4,500 withdrawal from an ATM in Dubai, connected to a bust-out scheme involving compromised personal information.",Recovered
case_0000222,txn_00007434,acct_0002667,2026-03-17,2026-03-28,FPF,105.4,2.81,102.59,32.25,0,2,Fraud Review Completed - No Action Needed,"Flagged unauthorized $120 transaction for concert tickets on a site in the Netherlands, originating from a compromised account in the U.K.",Recovered
case_0000223,txn_00007488,acct_0003959,2026-02-09,2026-02-12,CTF,33.73,19.31,14.42,0.78,2,5,Suspicious Activity - Temporary Hold Placed,"Investigated a $1,200 purchase of home appliances in Germany, linked to a suspected first-party fraud case with multiple accounts.",Net
case_0000224,txn_00007496,acct_0004818,2026-03-18,2026-04-02,CNP,2068.35,506.42,1561.93,1454.03,3,4,Fraud Review Completed - No Action Needed,"Flagged unauthorized $120 transaction for concert tickets on a site in the Netherlands, originating from a compromised account in the U.K.",Gross
case_0000225,txn_00007537,acct_0002350,2026-01-16,2026-01-22,ATO,162.35,11.56,150.79,91.06,2,10,Fraud Suspected - Investigation Ongoing,"SIM swap incident in the Netherlands; $3,500 withdrawn from ATMs after victim's phone number was hijacked.",Net
case_0000226,txn_00007621,acct_0004290,2026-02-20,2026-03-09,FPF,116.95,27.19,89.76,58.99,1,8,Fraud Review Completed - No Action Needed,Fraud detected in Malaysia; unauthorized charges of $950 made after account takeover through phishing.,Recovered
case_0000227,txn_00007633,acct_0000330,2026-01-05,2026-01-22,ATO,389.41,223.76,165.65,293.57,1,11,Fraud Suspected - Investigation Ongoing,"Fraudulent SIM swap reported in Thailand; $1,600 transferred to an unknown account within minutes.",Recovered
case_0000228,txn_00007641,acct_0004925,2026-01-27,2026-02-11,BUS,59.73,20.76,38.97,18.42,3,11,Fraud Suspected - Investigation Ongoing,"Investigated $75 e-commerce transaction for pet supplies in Brazil, associated with a cardholder's information stolen via phishing.",Gross
case_0000229,txn_00007708,acct_0002166,2026-03-21,2026-04-04,ATO,26.74,10.21,16.53,19.08,2,9,Potential Fraud - Customer Contacted,"A stolen card was used for a $700 online purchase in Italy, with the cardholder in Chicago reporting it lost during a recent trip.",Net
case_0000230,txn_00007723,acct_0000682,2026-02-19,2026-03-01,CTF,39.34,8.55,30.79,26.3,3,6,Suspicious Activity - Temporary Hold Placed,"SIM swap detected in New York; fraudster accessed account and withdrew $1,200 in cash at an ATM within minutes.",Recovered
case_0000231,txn_00007725,acct_0004600,2026-03-06,2026-03-18,BUS,282.56,10.1,272.46,136.07,0,1,Suspicious Activity - Temporary Hold Placed,"Investigated a $2,700 online furniture order in Mexico, connected to a bust-out scheme involving multiple fake identities.",Gross
case_0000232,txn_00007727,acct_0002161,2026-03-30,2026-04-07,FPF,309.94,42.74,267.2,138.18,0,2,Potential Fraud - Customer Contacted,"After losing their card in Italy, a customer found a $300 charge at a local cafe in New York flagged as fraudulent.",Net
case_0000233,txn_00007761,acct_0002566,2026-02-18,2026-03-09,CTF,540.69,86.17,454.52,271.86,2,11,Fraud Confirmed - No Chargeback Filed,SIM swap case in Ireland; $900 lost from banking account before the victim could react.,Recovered
case_0000234,txn_00007832,acct_0000788,2026-01-05,2026-01-13,BUS,210.71,9.58,201.13,125.17,1,5,Fraudulent Transaction - Account Closed,SIM swap incident in Germany; unauthorized access to banking app resulted in a $900 transfer to an overseas account.,Gross
case_0000235,txn_00007940,acct_0004332,2026-02-18,2026-02-19,ATO,37.9,13.46,24.44,1.81,2,7,Fraud Confirmed - No Chargeback Filed,"Reported $400 purchase of electronics from a U.S. retailer, traced to an overseas IP address in Nigeria, indicating potential carding activity.",Recovered
case_0000236,txn_00007950,acct_0000576,2026-02-25,2026-03-06,BUS,73.65,18.01,55.64,15.4,2,8,Suspicious Activity - Temporary Hold Placed,"A customer in Brazil flagged a $400 charge at a local supermarket as fraudulent, linked to a lost card reported during their travels.",Recovered
case_0000237,txn_00007957,acct_0002419,2026-02-19,2026-03-02,CTF,13.27,3.49,9.78,10.26,1,11,Fraud Review Completed - No Action Needed,A $650 transaction flagged as suspicious in Chicago; found to be linked to a skimming device installed on an ATM.,Gross
case_0000238,txn_00008005,acct_0001323,2026-03-13,2026-04-01,FPF,253.15,73.44,179.71,161.97,3,8,Suspicious Activity - Temporary Hold Placed,"A $350 charge at a bar in the Bahamas was linked to a stolen card reported by a traveler from New York, who lost it during the trip.",Gross
case_0000239,txn_00008011,acct_0000995,2026-03-09,2026-03-12,CTF,55.44,5.5,49.94,46.37,1,3,Fraud Case Resolved - Account Restored,"Fraudulent SIM swap in Italy; $1,200 drained from the victim’s savings account within hours of the incident.",Recovered
case_0000240,txn_00008022,acct_0003932,2026-03-14,2026-04-03,LST,97.96,48.07,49.89,83.89,0,11,Confirmed Fraud - Chargeback Filed,"SIM swap case in Japan; fraudulent transactions worth $4,000 traced to an overseas IP address.",Net
case_0000241,txn_00008055,acct_0001356,2026-02-17,2026-03-07,ATO,188.73,92.82,95.91,11.74,2,11,Suspicious Activity - Temporary Hold Placed,An unauthorized charge of $250 at a gas station in New Mexico was traced to a stolen card reported by a customer traveling in Europe.,Net
case_0000242,txn_00008065,acct_0001535,2026-01-17,2026-01-26,CNP,30.25,5.17,25.08,3.04,3,5,Fraud Confirmed - No Chargeback Filed,"Fraudulent SIM swap in Italy; $1,200 drained from the victim’s savings account within hours of the incident.",Net
case_0000243,txn_00008092,acct_0004229,2026-01-26,2026-01-26,CNP,237.82,54.26,183.56,111.34,2,10,Confirmed Fraud - Chargeback Filed,"Investigated a $1,200 purchase of home appliances in Germany, linked to a suspected first-party fraud case with multiple accounts.",Recovered
case_0000244,txn_00008100,acct_0001400,2026-02-26,2026-03-10,FPF,48.61,12.55,36.06,24.86,0,6,Fraudulent Activity - Account Suspended,"Detected $400 purchase of furniture from an online retailer in France, linked to a cardholder’s account breached in an overseas hack.",Recovered
case_0000245,txn_00008209,acct_0004123,2026-01-21,2026-01-28,BUS,19.51,8.11,11.4,5.76,3,3,Suspicious Activity - Temporary Hold Placed,"A customer in Brazil flagged a $400 charge at a local supermarket as fraudulent, linked to a lost card reported during their travels.",Net
case_0000246,txn_00008210,acct_0003661,2026-02-18,2026-02-24,CNP,138.42,74.14,64.28,89.01,0,1,Confirmed Fraud - Chargeback Filed,"Opened investigation for $300 online purchase of jewelry from a retailer in Dubai, linked to a card reported lost in Australia.",Net
case_0000247,txn_00008247,acct_0000071,2026-03-27,2026-04-08,CTF,8.84,2.46,6.38,4.77,0,11,Potential Fraud - Customer Contacted,"SIM swap incident in the Netherlands; $3,500 withdrawn from ATMs after victim's phone number was hijacked.",Recovered
case_0000248,txn_00008350,acct_0003416,2026-03-13,2026-03-13,BUS,109.24,34.25,74.99,17.84,2,6,Fraud Investigation - Awaiting Customer Response,"The cardholder in Australia discovered a $600 charge at an overseas retailer, claiming their card was lost during a recent business trip.",Net
case_0000249,txn_00008384,acct_0000294,2026-02-17,2026-02-23,BUS,14.98,5.53,9.45,2.45,3,8,Confirmed Fraud - Chargeback Filed,"Investigation opened for a $200 e-commerce transaction for luxury goods from a site in Italy, originating from a stolen card in Canada.",Gross
case_0000250,txn_00008390,acct_0002282,2026-02-09,2026-02-16,CNP,152,30.3,121.7,107.33,1,7,Confirmed Fraud - Refund Process Initiated,Fraud detected in Malaysia; unauthorized charges of $950 made after account takeover through phishing.,Net
case_0000251,txn_00008436,acct_0004203,2026-02-20,2026-03-02,BUS,698.29,63.37,634.92,591.83,2,10,Fraud Case Resolved - Account Restored,"Account takeover reported in California; unauthorized purchase of $2,500 made online using stolen credentials from a phishing attack.",Gross
case_0000252,txn_00008440,acct_0002248,2026-02-07,2026-02-25,ATO,173.22,96.05,77.17,113.19,2,7,Fraudulent Activity - Account Suspended,Account takeover in Florida; hackers purchased $500 in gift cards after intercepting account recovery emails.,Recovered
case_0000253,txn_00008445,acct_0001960,2026-01-19,2026-01-23,CTF,334.67,151.81,182.86,88.71,3,8,Fraud Case Resolved - Account Restored,"Uncovered $300 fraudulent purchase of sports tickets from a site in Mexico, traced back to a card used in a prior hack in the U.S.",Net
case_0000254,txn_00008492,acct_0000493,2026-03-04,2026-03-05,FPF,664.32,127.74,536.58,4.56,3,6,Fraud Case Resolved - Account Restored,A fraudulent charge of $600 at a clothing store in the UK was connected to a card reported lost by a customer from Florida.,Net
case_0000255,txn_00008497,acct_0003860,2026-01-22,2026-01-26,BUS,80.26,46.23,34.03,41.7,3,10,Confirmed Fraud - Chargeback Filed,"Found $150 charge for digital downloads on a site in Italy, originating from a stolen card in the U.S., indicating possible identity theft.",Recovered
case_0000256,txn_00008546,acct_0002324,2026-01-20,2026-02-01,LST,587.86,340.8,247.06,299.84,3,4,Confirmed Fraud - Chargeback Filed,A $900 charge in Amsterdam linked to a counterfeit card; associated with a major skimming incident reported by multiple victims.,Recovered
case_0000257,txn_00008588,acct_0002910,2026-01-27,2026-01-31,FPF,45.57,24.17,21.4,29.2,3,5,Fraud Case Resolved - Account Restored,"Analyzed $500 overseas purchase of software licenses from a Chinese vendor, originating from a card reported lost in France.",Gross
case_0000258,txn_00008599,acct_0004760,2026-01-21,2026-01-23,LST,91.13,46.3,44.83,42.06,0,9,Fraudulent Transaction - Account Closed,"Account takeover reported in California; unauthorized purchase of $2,500 made online using stolen credentials from a phishing attack.",Net
case_0000259,txn_00008767,acct_0000468,2026-03-11,2026-03-17,BUS,85.02,34.55,50.47,74.96,2,10,Suspicious Activity - Temporary Hold Placed,"Detected a $4,200 purchase in Berlin from a counterfeit card; linked to a recent data leak in a major retail chain.",Net
case_0000260,txn_00008787,acct_0003789,2026-02-27,2026-03-09,CTF,91.78,23.1,68.68,13.73,2,3,Confirmed Fraud - Chargeback Filed,"Found $150 charge for digital downloads on a site in Italy, originating from a stolen card in the U.S., indicating possible identity theft.",Recovered
case_0000261,txn_00008827,acct_0002107,2026-03-26,2026-04-14,CNP,46.68,11.63,35.05,27.64,3,11,Fraud Suspected - Investigation Ongoing,"Account takeover in Australia; $1,500 spent on gaming subscriptions after the victim's email was hacked.",Gross
case_0000262,txn_00008829,acct_0000358,2026-01-21,2026-02-01,CTF,271.55,159.63,111.92,37.96,1,8,Fraud Review Completed - No Action Needed,"Uncovered a $1,500 online jewelry purchase in Italy, linked to a scheme involving stolen identities and first-party fraud.",Recovered
case_0000263,txn_00008834,acct_0001747,2026-01-27,2026-01-28,CTF,37.98,11.14,26.84,0.33,3,2,Fraud Case Resolved - Account Restored,A customer in Canada reported a stolen card used for a $250 purchase at a local electronics store after losing it during a trip.,Recovered
case_0000264,txn_00008875,acct_0004410,2026-02-18,2026-03-09,ATO,179.08,53.58,125.5,152.85,2,10,Fraud Alert - Transaction Declined,"Investigator flagged a $3,300 online purchase from a counterfeit card; linked to a skimming operation in a neighboring state.",Net
case_0000265,txn_00008910,acct_0003585,2026-02-20,2026-02-28,CNP,154.74,25.7,129.04,34.02,1,8,Fraud Investigation - Awaiting Customer Response,"A $3,000 transaction in Rome linked to a counterfeit card; investigation revealed a widespread skimming operation across Europe.",Net
case_0000266,txn_00008937,acct_0002620,2026-01-16,2026-01-30,CNP,29.22,1.98,27.24,2.15,0,7,Confirmed Fraud - Refund Process Initiated,"The cardholder in Australia discovered a $600 charge at an overseas retailer, claiming their card was lost during a recent business trip.",Net
case_0000267,txn_00008959,acct_0000015,2026-02-10,2026-02-17,FPF,157.84,86.48,71.36,122.38,2,4,Suspicious Activity - Temporary Hold Placed,"Analyzed a $3,200 transaction at a luxury goods store in New York, indicating a possible friendly fraud attempt by the cardholder.",Recovered
case_0000268,txn_00008971,acct_0004919,2026-03-04,2026-03-22,BUS,46.28,13.96,32.32,7.66,3,8,Confirmed Fraud - Chargeback Filed,The investigation into a $350 charge at a cafe in Toronto revealed it was linked to a stolen card reported lost by a customer in Ohio.,Gross
case_0000269,txn_00008977,acct_0000395,2026-02-13,2026-02-26,FPF,61.02,24.86,36.16,36.14,3,9,Suspicious Activity - Temporary Hold Placed,"Uncovered a $1,000 charge for digital subscriptions in Australia, traced back to a bust-out operation using false identification.",Net
case_0000270,txn_00008981,acct_0004661,2026-03-14,2026-03-28,BUS,64.78,0.45,64.33,35.75,1,7,Confirmed Fraud - Chargeback Filed,Fraud detected in Malaysia; unauthorized charges of $950 made after account takeover through phishing.,Net
case_0000271,txn_00008987,acct_0001256,2026-01-15,2026-02-02,CTF,85.16,32.94,52.22,26.36,3,3,Fraud Case Resolved - Account Restored,An investigation into a $450 charge at a boutique in Spain revealed it was made using a card reported lost by a customer in Texas.,Recovered
case_0000272,txn_00009001,acct_0002000,2026-02-24,2026-03-02,LST,162.93,70.87,92.06,11.43,0,9,Confirmed Fraud - Chargeback Filed,A cardholder in Arizona discovered a $300 transaction at a local gym linked to a stolen card reported after losing it during a night out.,Gross
case_0000273,txn_00009027,acct_0001980,2026-03-12,2026-03-23,BUS,189.54,14.51,175.03,169.49,3,7,Fraud Investigation - Awaiting Customer Response,"A $350 charge at a bar in the Bahamas was linked to a stolen card reported by a traveler from New York, who lost it during the trip.",Net
case_0000274,txn_00009040,acct_0002767,2026-02-25,2026-03-08,ATO,2307.62,632.1,1675.52,2.58,2,6,Fraud Investigation - Awaiting Customer Response,"After losing their card in Italy, a customer found a $300 charge at a local cafe in New York flagged as fraudulent.",Recovered
case_0000275,txn_00009068,acct_0000620,2026-02-02,2026-02-15,FPF,268.57,75.58,192.99,173.58,2,4,Fraud Suspected - Investigation Ongoing,"SIM swap incident in the Netherlands; $3,500 withdrawn from ATMs after victim's phone number was hijacked.",Recovered
case_0000276,txn_00009071,acct_0002503,2026-02-20,2026-02-22,ATO,237.75,24.76,212.99,88.18,3,10,Fraud Investigation - Awaiting Customer Response,"Fraud detected in Russia; $1,000 stolen from a credit card following an account takeover.",Recovered
case_0000277,txn_00009159,acct_0001423,2026-02-19,2026-03-03,ATO,63.13,25.9,37.23,37.22,3,11,Fraud Review Completed - No Action Needed,"Investigation opened for a $200 e-commerce transaction for luxury goods from a site in Italy, originating from a stolen card in Canada.",Recovered
case_0000278,txn_00009197,acct_0000392,2026-03-19,2026-03-31,FPF,224.35,93.77,130.58,110.23,3,1,Fraud Suspected - Investigation Ongoing,"A $1,200 transaction flagged in Phoenix as suspicious; linked to skimming operations targeting tourists at local attractions.",Recovered
case_0000279,txn_00009204,acct_0001281,2026-03-30,2026-04-19,FPF,1823.23,865.77,957.46,1279.49,2,5,Confirmed Fraud - Chargeback Filed,"Investigator flagged a $3,300 online purchase from a counterfeit card; linked to a skimming operation in a neighboring state.",Net
case_0000280,txn_00009231,acct_0002981,2026-02-21,2026-03-11,FPF,88.41,11.41,77,0.46,1,5,Fraud Investigation - Awaiting Customer Response,"Flagged $90 subscription service fee for an app in Sweden, traced to a compromised card reported during a recent phishing attack.",Net
case_0000281,txn_00009257,acct_0004220,2026-03-29,2026-04-12,CTF,182.34,100.98,81.36,59.75,1,11,Suspicious Activity - Temporary Hold Placed,A cardholder in Arizona discovered a $300 transaction at a local gym linked to a stolen card reported after losing it during a night out.,Recovered
case_0000282,txn_00009300,acct_0003005,2026-01-12,2026-01-30,ATO,49.27,18.69,30.58,2.1,3,4,Fraud Confirmed - No Chargeback Filed,"A $1,250 skimming incident at a convenience store in Texas was confirmed, leading to the discovery of compromised customer data.",Net
case_0000283,txn_00009305,acct_0000146,2026-02-19,2026-03-01,CNP,333.8,175.93,157.87,90.38,3,8,Suspicious Activity - Temporary Hold Placed,"A stolen card was used for a $900 purchase at a tech store in Japan, reported lost by a traveler from San Francisco.",Net
case_0000284,txn_00009335,acct_0003292,2026-01-20,2026-01-20,CTF,64.97,4.54,60.43,53.47,1,7,Fraud Alert - Transaction Declined,"A $1,800 skimming incident was detected at a gas station in California; surveillance footage revealed a hidden device on the card reader.",Gross
case_0000285,txn_00009340,acct_0000110,2026-02-17,2026-03-03,CNP,667.53,72.13,595.4,550.87,2,3,Fraud Case Resolved - Account Restored,"Uncovered a $1,500 online jewelry purchase in Italy, linked to a scheme involving stolen identities and first-party fraud.",Gross
case_0000286,txn_00009412,acct_0002012,2026-01-12,2026-01-12,CNP,2346.99,798.51,1548.48,1021.65,0,11,Fraud Confirmed - No Chargeback Filed,"Fraudulent transaction in the Philippines; account takeover resulted in $1,100 worth of electronics purchased online.",Net
case_0000287,txn_00009482,acct_0002846,2026-01-26,2026-02-12,FPF,93.95,1.61,92.34,39.22,3,1,Confirmed Fraud - Chargeback Filed,"Detected $500 online purchase for home appliances from a retailer in Germany, originating from a card reported stolen in Canada.",Net
case_0000288,txn_00009504,acct_0002570,2026-01-11,2026-01-31,LST,126.25,58.45,67.8,111.94,1,8,Potential Fraud - Customer Contacted,"Fraudulent access reported in Mexico; $1,000 transferred to a fake vendor after SIM swap completed.",Net
case_0000289,txn_00009558,acct_0003061,2026-03-03,2026-03-11,FPF,475.16,59.22,415.94,159.29,2,5,Fraud Alert - Transaction Declined,"A cardholder in Germany reported a lost card after noticing a $250 charge at a local bar in Miami, leading to an immediate alert.",Recovered
case_0000290,txn_00009588,acct_0000723,2026-01-27,2026-02-10,CTF,2041.53,1044.41,997.12,679.55,1,11,Potential Fraud - Customer Contacted,"Analyzed $500 overseas purchase of software licenses from a Chinese vendor, originating from a card reported lost in France.",Gross
case_0000291,txn_00009600,acct_0003216,2026-03-28,2026-04-09,BUS,75.06,15.26,59.8,54.24,0,2,Fraud Suspected - Investigation Ongoing,"Victim in Chile reported account takeover; $1,200 in digital currency stolen through compromised credentials.",Recovered
case_0000292,txn_00009666,acct_0001806,2026-01-24,2026-01-24,CNP,738.38,356.14,382.24,351.55,1,10,Fraud Confirmed - No Chargeback Filed,Fraud detected in Malaysia; unauthorized charges of $950 made after account takeover through phishing.,Gross
case_0000293,txn_00009695,acct_0003676,2026-01-20,2026-01-29,ATO,10.82,1.43,9.39,1.06,1,4,Fraud Investigation - Awaiting Customer Response,"Investigated a $2,700 online furniture order in Mexico, connected to a bust-out scheme involving multiple fake identities.",Gross
case_0000294,txn_00009697,acct_0002815,2026-03-20,2026-03-21,ATO,329.24,138.53,190.71,120.35,0,1,Fraudulent Transaction - Account Closed,"Reviewed a $2,000 transaction for high-end fashion in the UK, suspected to be part of a first-party fraud pattern.",Gross
case_0000295,txn_00009713,acct_0004131,2026-02-20,2026-02-22,CNP,223.19,6.13,217.06,17.27,3,1,Fraud Investigation - Awaiting Customer Response,"Account takeover in Virginia; $1,600 taken via unauthorized credit card purchases after successful phishing attack.",Gross
case_0000296,txn_00009789,acct_0004438,2026-03-16,2026-03-28,FPF,565.38,112.25,453.13,255.88,0,2,Suspicious Activity - Temporary Hold Placed,"Analyzed $500 overseas purchase of software licenses from a Chinese vendor, originating from a card reported lost in France.",Recovered
case_0000297,txn_00009802,acct_0002687,2026-03-05,2026-03-06,BUS,134.2,32.1,102.1,2.63,3,3,Confirmed Fraud - Refund Process Initiated,"A stolen card was used for a $450 purchase at a hotel in Dubai, reported lost by a cardholder from New York shortly before the charge.",Recovered
case_0000298,txn_00009813,acct_0000103,2026-02-24,2026-03-01,CTF,1142.93,588.8,554.13,429.92,2,7,Fraudulent Activity - Account Suspended,A suspicious $300 transaction at a restaurant in Paris was traced back to a stolen card reported by a customer living in California.,Gross
case_0000299,txn_00009853,acct_0003457,2026-03-02,2026-03-19,ATO,946.64,352.43,594.21,99.4,3,7,Fraud Case Resolved - Account Restored,"Identified unauthorized $80 e-commerce transaction for clothing in Canada, originating from a card linked to a known fraud ring in the U.S.",Recovered
case_0000300,txn_00009854,acct_0004964,2026-03-13,2026-03-20,CTF,160.27,3.66,156.61,0.28,1,3,Fraud Alert - Transaction Declined,"Fraudulent transaction in the Philippines; account takeover resulted in $1,100 worth of electronics purchased online.",Recovered
case_0000301,txn_00009858,acct_0002997,2026-03-13,2026-03-24,CTF,47.56,14.72,32.84,30.26,2,10,Fraud Case Resolved - Account Restored,"Investigation launched after a $4,500 purchase in Paris flagged as counterfeit; cardholder reported previous unauthorized transactions.",Recovered
case_0000302,txn_00009897,acct_0002981,2026-03-23,2026-04-02,CTF,117.67,30.74,86.93,19.82,3,9,Confirmed Fraud - Refund Process Initiated,A fraudulent charge of $800 at a casino in Las Vegas was flagged against a lost card reported by a customer visiting from Canada.,Gross
case_0000303,txn_00009924,acct_0002863,2026-03-06,2026-03-09,ATO,174.88,12.34,162.54,26.74,2,7,Fraudulent Transaction - Account Closed,"Examined a $700 online gaming purchase in Canada, attributed to friendly fraud with multiple disputes from the cardholder.",Recovered
case_0000304,txn_00009944,acct_0004070,2026-03-26,2026-04-12,CTF,103.18,17.25,85.93,6.86,3,2,Confirmed Fraud - Refund Process Initiated,"Flagged $90 subscription service fee for an app in Sweden, traced to a compromised card reported during a recent phishing attack.",Gross
case_0000305,txn_00009958,acct_0002123,2026-02-04,2026-02-21,CTF,138.7,29.64,109.06,94.87,2,5,Fraud Review Completed - No Action Needed,"Detected a $3,500 wire transfer to an overseas account, tied to a bust-out operation in South America.",Gross
case_0000306,txn_00009965,acct_0000116,2026-01-25,2026-02-01,FPF,287.7,62.49,225.21,140.47,2,6,Fraud Investigation - Awaiting Customer Response,"A $4,600 purchase at a luxury retailer in London flagged as fraudulent; traced back to multiple compromised accounts in the area.",Gross
case_0000307,txn_00010029,acct_0002390,2026-03-26,2026-03-30,ATO,170.85,20.65,150.2,116.65,2,9,Fraud Alert - Transaction Declined,"Detected fraudulent $90 charge for beauty products in Italy, linked to a compromised account in a recent data breach in Canada.",Gross
